STATE US ABBREVIATION,PAIN RELIEVERS - PAST YEAR USE,Total %,Total % SE,Total % CI (lower),Total % CI (upper),Row %,Row % SE,Row % CI (lower),Row % CI (upper),Column %,Column % SE,Column % CI (lower),Column % CI (upper),Weighted Count,Count,Count SE
Overall,Overall,1,0,N/A,N/A,1,0,N/A,N/A,1,0,N/A,N/A,261224000,N/A,1981000
AK,Overall,0.002,0.0001,0.002,0.002,1,0,N/A,N/A,0.002,0.0001,0.002,0.002,577000,N/A,30000
AL,Overall,0.015,0.0008,0.014,0.017,1,0,N/A,N/A,0.015,0.0008,0.014,0.017,4015000,N/A,220000
AR,Overall,0.009,0.0006,0.008,0.01,1,0,N/A,N/A,0.009,0.0006,0.008,0.01,2429000,N/A,144000
AZ,Overall,0.021,0.0012,0.019,0.023,1,0,N/A,N/A,0.021,0.0012,0.019,0.023,5403000,N/A,305000
CA,Overall,0.121,0.0032,0.115,0.127,1,0,N/A,N/A,0.121,0.0032,0.115,0.127,31582000,N/A,920000
CO,Overall,0.016,0.001,0.015,0.018,1,0,N/A,N/A,0.016,0.001,0.015,0.018,4300000,N/A,256000
CT,Overall,0.012,0.0006,0.01,0.013,1,0,N/A,N/A,0.012,0.0006,0.01,0.013,3040000,N/A,167000
DC,Overall,0.002,0.0001,0.002,0.002,1,0,N/A,N/A,0.002,0.0001,0.002,0.002,550000,N/A,30000
DE,Overall,0.003,0.0002,0.003,0.003,1,0,N/A,N/A,0.003,0.0002,0.003,0.003,770000,N/A,44000
FL,Overall,0.063,0.0019,0.059,0.067,1,0,N/A,N/A,0.063,0.0019,0.059,0.067,16491000,N/A,520000
GA,Overall,0.031,0.0015,0.028,0.034,1,0,N/A,N/A,0.031,0.0015,0.028,0.034,8087000,N/A,401000
HI,Overall,0.004,0.0003,0.004,0.005,1,0,N/A,N/A,0.004,0.0003,0.004,0.005,1133000,N/A,72000
IA,Overall,0.01,0.0007,0.008,0.011,1,0,N/A,N/A,0.01,0.0007,0.008,0.011,2559000,N/A,189000
ID,Overall,0.005,0.0003,0.004,0.006,1,0,N/A,N/A,0.005,0.0003,0.004,0.006,1297000,N/A,79000
IL,Overall,0.041,0.001,0.039,0.043,1,0,N/A,N/A,0.041,0.001,0.039,0.043,10697000,N/A,258000
IN,Overall,0.021,0.001,0.019,0.023,1,0,N/A,N/A,0.021,0.001,0.019,0.023,5411000,N/A,257000
KS,Overall,0.009,0.0005,0.008,0.01,1,0,N/A,N/A,0.009,0.0005,0.008,0.01,2340000,N/A,135000
KY,Overall,0.014,0.0009,0.012,0.016,1,0,N/A,N/A,0.014,0.0009,0.012,0.016,3620000,N/A,233000
LA,Overall,0.014,0.0008,0.013,0.016,1,0,N/A,N/A,0.014,0.0008,0.013,0.016,3760000,N/A,206000
MA,Overall,0.022,0.0013,0.019,0.024,1,0,N/A,N/A,0.022,0.0013,0.019,0.024,5687000,N/A,334000
MD,Overall,0.019,0.001,0.017,0.021,1,0,N/A,N/A,0.019,0.001,0.017,0.021,4926000,N/A,271000
ME,Overall,0.004,0.0002,0.004,0.005,1,0,N/A,N/A,0.004,0.0002,0.004,0.005,1147000,N/A,46000
MI,Overall,0.032,0.0008,0.03,0.033,1,0,N/A,N/A,0.032,0.0008,0.03,0.033,8333000,N/A,205000
MN,Overall,0.017,0.0011,0.015,0.02,1,0,N/A,N/A,0.017,0.0011,0.015,0.02,4490000,N/A,301000
MO,Overall,0.019,0.0008,0.018,0.021,1,0,N/A,N/A,0.019,0.0008,0.018,0.021,4998000,N/A,212000
MS,Overall,0.009,0.0006,0.008,0.011,1,0,N/A,N/A,0.009,0.0006,0.008,0.011,2424000,N/A,160000
MT,Overall,0.003,0.0002,0.003,0.004,1,0,N/A,N/A,0.003,0.0002,0.003,0.004,846000,N/A,45000
NC,Overall,0.031,0.002,0.027,0.035,1,0,N/A,N/A,0.031,0.002,0.027,0.035,8061000,N/A,540000
ND,Overall,0.002,0.0001,0.002,0.002,1,0,N/A,N/A,0.002,0.0001,0.002,0.002,586000,N/A,21000
NE,Overall,0.006,0.0003,0.005,0.006,1,0,N/A,N/A,0.006,0.0003,0.005,0.006,1518000,N/A,68000
NH,Overall,0.004,0.0002,0.004,0.005,1,0,N/A,N/A,0.004,0.0002,0.004,0.005,1136000,N/A,51000
NJ,Overall,0.029,0.0015,0.026,0.032,1,0,N/A,N/A,0.029,0.0015,0.026,0.032,7459000,N/A,400000
NM,Overall,0.007,0.0003,0.006,0.007,1,0,N/A,N/A,0.007,0.0003,0.006,0.007,1705000,N/A,85000
NV,Overall,0.009,0.0007,0.008,0.01,1,0,N/A,N/A,0.009,0.0007,0.008,0.01,2295000,N/A,173000
NY,Overall,0.063,0.0016,0.06,0.067,1,0,N/A,N/A,0.063,0.0016,0.06,0.067,16576000,N/A,425000
OH,Overall,0.037,0.0009,0.035,0.039,1,0,N/A,N/A,0.037,0.0009,0.035,0.039,9658000,N/A,238000
OK,Overall,0.012,0.0005,0.011,0.013,1,0,N/A,N/A,0.012,0.0005,0.011,0.013,3115000,N/A,130000
OR,Overall,0.013,0.0006,0.011,0.014,1,0,N/A,N/A,0.013,0.0006,0.011,0.014,3311000,N/A,167000
PA,Overall,0.041,0.0011,0.039,0.043,1,0,N/A,N/A,0.041,0.0011,0.039,0.043,10799000,N/A,280000
RI,Overall,0.003,0.0002,0.003,0.004,1,0,N/A,N/A,0.003,0.0002,0.003,0.004,896000,N/A,47000
SC,Overall,0.015,0.0008,0.014,0.017,1,0,N/A,N/A,0.015,0.0008,0.014,0.017,3926000,N/A,215000
SD,Overall,0.003,0.0001,0.002,0.003,1,0,N/A,N/A,0.003,0.0001,0.002,0.003,681000,N/A,33000
TN,Overall,0.021,0.0012,0.018,0.023,1,0,N/A,N/A,0.021,0.0012,0.018,0.023,5386000,N/A,318000
TX,Overall,0.081,0.0026,0.076,0.086,1,0,N/A,N/A,0.081,0.0026,0.076,0.086,21038000,N/A,708000
UT,Overall,0.009,0.0005,0.008,0.01,1,0,N/A,N/A,0.009,0.0005,0.008,0.01,2236000,N/A,133000
VA,Overall,0.026,0.0016,0.023,0.029,1,0,N/A,N/A,0.026,0.0016,0.023,0.029,6770000,N/A,432000
VT,Overall,0.002,0.0001,0.002,0.002,1,0,N/A,N/A,0.002,0.0001,0.002,0.002,542000,N/A,27000
WA,Overall,0.022,0.0012,0.02,0.025,1,0,N/A,N/A,0.022,0.0012,0.02,0.025,5767000,N/A,323000
WI,Overall,0.018,0.0009,0.017,0.02,1,0,N/A,N/A,0.018,0.0009,0.017,0.02,4799000,N/A,229000
WV,Overall,0.006,0.0003,0.005,0.007,1,0,N/A,N/A,0.006,0.0003,0.005,0.007,1574000,N/A,80000
WY,Overall,0.002,0.0001,0.002,0.002,1,0,N/A,N/A,0.002,0.0001,0.002,0.002,477000,N/A,21000
Overall,0 - Did not use in the past year,0.955,0.001,0.953,0.957,0.955,0.001,0.953,0.957,1,0,N/A,N/A,249448000,N/A,1917000
AK,0 - Did not use in the past year,0.002,0.0001,0.002,0.002,0.951,0.0058,0.938,0.962,0.002,0.0001,0.002,0.002,549000,N/A,29000
AL,0 - Did not use in the past year,0.014,0.0008,0.013,0.016,0.939,0.0085,0.92,0.954,0.015,0.0008,0.014,0.017,3771000,N/A,209000
AR,0 - Did not use in the past year,0.009,0.0005,0.008,0.01,0.951,0.0081,0.932,0.964,0.009,0.0006,0.008,0.01,2309000,N/A,143000
AZ,0 - Did not use in the past year,0.019,0.0011,0.017,0.022,0.936,0.0108,0.912,0.955,0.02,0.0011,0.018,0.023,5060000,N/A,283000
CA,0 - Did not use in the past year,0.115,0.0031,0.109,0.121,0.947,0.0034,0.94,0.954,0.12,0.0032,0.114,0.126,29922000,N/A,880000
CO,0 - Did not use in the past year,0.016,0.001,0.014,0.018,0.951,0.0079,0.933,0.964,0.016,0.001,0.015,0.018,4089000,N/A,252000
CT,0 - Did not use in the past year,0.011,0.0006,0.01,0.013,0.971,0.006,0.957,0.981,0.012,0.0007,0.011,0.013,2953000,N/A,165000
DC,0 - Did not use in the past year,0.002,0.0001,0.002,0.002,0.957,0.0067,0.941,0.968,0.002,0.0001,0.002,0.002,526000,N/A,30000
DE,0 - Did not use in the past year,0.003,0.0002,0.003,0.003,0.952,0.0069,0.936,0.963,0.003,0.0002,0.003,0.003,733000,N/A,43000
FL,0 - Did not use in the past year,0.061,0.0019,0.057,0.065,0.966,0.003,0.959,0.971,0.064,0.002,0.06,0.068,15925000,N/A,518000
GA,0 - Did not use in the past year,0.029,0.0014,0.027,0.032,0.949,0.0078,0.932,0.963,0.031,0.0015,0.028,0.034,7678000,N/A,382000
HI,0 - Did not use in the past year,0.004,0.0003,0.004,0.005,0.954,0.0061,0.94,0.964,0.004,0.0003,0.004,0.005,1081000,N/A,71000
IA,0 - Did not use in the past year,0.01,0.0007,0.008,0.011,0.971,0.0046,0.96,0.979,0.01,0.0008,0.009,0.012,2484000,N/A,189000
ID,0 - Did not use in the past year,0.005,0.0003,0.004,0.005,0.962,0.0052,0.95,0.971,0.005,0.0003,0.004,0.006,1248000,N/A,76000
IL,0 - Did not use in the past year,0.04,0.001,0.038,0.042,0.967,0.0027,0.961,0.972,0.041,0.001,0.039,0.044,10342000,N/A,252000
IN,0 - Did not use in the past year,0.02,0.0009,0.018,0.022,0.949,0.0073,0.932,0.961,0.021,0.001,0.019,0.023,5134000,N/A,248000
KS,0 - Did not use in the past year,0.009,0.0005,0.008,0.01,0.967,0.0057,0.953,0.976,0.009,0.0005,0.008,0.01,2262000,N/A,129000
KY,0 - Did not use in the past year,0.013,0.0009,0.012,0.015,0.949,0.0076,0.932,0.962,0.014,0.0009,0.012,0.016,3435000,N/A,228000
LA,0 - Did not use in the past year,0.014,0.0008,0.012,0.015,0.948,0.0073,0.932,0.96,0.014,0.0008,0.013,0.016,3564000,N/A,206000
MA,0 - Did not use in the past year,0.021,0.0012,0.019,0.024,0.97,0.0046,0.96,0.978,0.022,0.0013,0.02,0.025,5518000,N/A,328000
MD,0 - Did not use in the past year,0.018,0.001,0.016,0.02,0.955,0.007,0.939,0.967,0.019,0.001,0.017,0.021,4705000,N/A,260000
ME,0 - Did not use in the past year,0.004,0.0002,0.004,0.005,0.961,0.0066,0.946,0.972,0.004,0.0002,0.004,0.005,1102000,N/A,47000
MI,0 - Did not use in the past year,0.03,0.0008,0.029,0.032,0.953,0.0033,0.946,0.959,0.032,0.0008,0.03,0.033,7940000,N/A,202000
MN,0 - Did not use in the past year,0.017,0.0011,0.015,0.019,0.967,0.0055,0.955,0.977,0.017,0.0012,0.015,0.02,4343000,N/A,294000
MO,0 - Did not use in the past year,0.018,0.0008,0.017,0.02,0.957,0.0065,0.942,0.968,0.019,0.0009,0.018,0.021,4781000,N/A,212000
MS,0 - Did not use in the past year,0.009,0.0006,0.008,0.01,0.956,0.0066,0.941,0.967,0.009,0.0006,0.008,0.011,2317000,N/A,154000
MT,0 - Did not use in the past year,0.003,0.0002,0.003,0.003,0.969,0.0053,0.957,0.978,0.003,0.0002,0.003,0.004,820000,N/A,43000
NC,0 - Did not use in the past year,0.029,0.0019,0.026,0.033,0.944,0.0087,0.925,0.959,0.031,0.002,0.027,0.035,7611000,N/A,522000
ND,0 - Did not use in the past year,0.002,0.0001,0.002,0.002,0.965,0.0049,0.954,0.973,0.002,0.0001,0.002,0.002,565000,N/A,21000
NE,0 - Did not use in the past year,0.006,0.0003,0.005,0.006,0.972,0.0044,0.962,0.98,0.006,0.0003,0.005,0.006,1476000,N/A,67000
NH,0 - Did not use in the past year,0.004,0.0002,0.004,0.005,0.96,0.0064,0.946,0.971,0.004,0.0002,0.004,0.005,1091000,N/A,50000
NJ,0 - Did not use in the past year,0.028,0.0015,0.025,0.031,0.965,0.0045,0.955,0.973,0.029,0.0016,0.026,0.032,7199000,N/A,394000
NM,0 - Did not use in the past year,0.006,0.0003,0.006,0.007,0.948,0.0079,0.93,0.962,0.006,0.0003,0.006,0.007,1617000,N/A,86000
NV,0 - Did not use in the past year,0.008,0.0006,0.007,0.01,0.942,0.0093,0.92,0.957,0.009,0.0007,0.007,0.01,2161000,N/A,168000
NY,0 - Did not use in the past year,0.061,0.0016,0.058,0.064,0.961,0.0032,0.954,0.967,0.064,0.0016,0.061,0.067,15924000,N/A,411000
OH,0 - Did not use in the past year,0.035,0.0009,0.033,0.037,0.947,0.0037,0.939,0.954,0.037,0.001,0.035,0.039,9144000,N/A,238000
OK,0 - Did not use in the past year,0.011,0.0005,0.01,0.012,0.943,0.0089,0.922,0.958,0.012,0.0005,0.011,0.013,2936000,N/A,125000
OR,0 - Did not use in the past year,0.012,0.0006,0.011,0.013,0.939,0.0089,0.919,0.955,0.012,0.0006,0.011,0.014,3110000,N/A,159000
PA,0 - Did not use in the past year,0.04,0.0011,0.038,0.042,0.962,0.003,0.955,0.967,0.042,0.0011,0.04,0.044,10387000,N/A,274000
RI,0 - Did not use in the past year,0.003,0.0002,0.003,0.004,0.948,0.0074,0.931,0.961,0.003,0.0002,0.003,0.004,850000,N/A,47000
SC,0 - Did not use in the past year,0.014,0.0008,0.013,0.016,0.959,0.0058,0.946,0.969,0.015,0.0008,0.014,0.017,3766000,N/A,212000
SD,0 - Did not use in the past year,0.003,0.0001,0.002,0.003,0.967,0.007,0.95,0.978,0.003,0.0001,0.002,0.003,658000,N/A,32000
TN,0 - Did not use in the past year,0.02,0.0012,0.018,0.022,0.956,0.0072,0.94,0.969,0.021,0.0012,0.018,0.023,5151000,N/A,312000
TX,0 - Did not use in the past year,0.077,0.0025,0.072,0.082,0.958,0.0031,0.952,0.964,0.081,0.0026,0.076,0.086,20161000,N/A,684000
UT,0 - Did not use in the past year,0.008,0.0005,0.007,0.009,0.96,0.0065,0.945,0.971,0.009,0.0005,0.008,0.01,2147000,N/A,129000
VA,0 - Did not use in the past year,0.024,0.0015,0.022,0.028,0.942,0.0107,0.917,0.96,0.026,0.0016,0.023,0.029,6376000,N/A,397000
VT,0 - Did not use in the past year,0.002,0.0001,0.002,0.002,0.969,0.0054,0.957,0.978,0.002,0.0001,0.002,0.002,525000,N/A,26000
WA,0 - Did not use in the past year,0.021,0.0012,0.019,0.023,0.943,0.0076,0.926,0.956,0.022,0.0012,0.019,0.024,5439000,N/A,314000
WI,0 - Did not use in the past year,0.018,0.0008,0.016,0.019,0.957,0.0072,0.94,0.969,0.018,0.0009,0.017,0.02,4592000,N/A,217000
WV,0 - Did not use in the past year,0.006,0.0003,0.005,0.006,0.961,0.0053,0.949,0.97,0.006,0.0003,0.005,0.007,1513000,N/A,76000
WY,0 - Did not use in the past year,0.002,0.0001,0.002,0.002,0.966,0.0056,0.953,0.975,0.002,0.0001,0.002,0.002,460000,N/A,20000
Overall,1 - Used within the past year,0.045,0.001,0.043,0.047,0.045,0.001,0.043,0.047,1,0,N/A,N/A,11777000,N/A,268000
AK,1 - Used within the past year,0,0,0,0,0.049,0.0058,0.038,0.062,0.002,0.0003,0.002,0.003,28000,N/A,3000
AL,1 - Used within the past year,0.001,0.0001,0.001,0.001,0.061,0.0085,0.046,0.08,0.021,0.0031,0.015,0.028,245000,N/A,37000
AR,1 - Used within the past year,0,0.0001,0,0.001,0.049,0.0081,0.036,0.068,0.01,0.0016,0.007,0.014,120000,N/A,19000
AZ,1 - Used within the past year,0.001,0.0002,0.001,0.002,0.064,0.0108,0.045,0.088,0.029,0.0053,0.02,0.042,343000,N/A,64000
CA,1 - Used within the past year,0.006,0.0004,0.006,0.007,0.053,0.0034,0.046,0.06,0.141,0.009,0.124,0.16,1660000,N/A,117000
CO,1 - Used within the past year,0.001,0.0001,0.001,0.001,0.049,0.0079,0.036,0.067,0.018,0.0028,0.013,0.024,211000,N/A,34000
CT,1 - Used within the past year,0,0.0001,0,0.001,0.029,0.006,0.019,0.043,0.007,0.0016,0.005,0.011,87000,N/A,18000
DC,1 - Used within the past year,0,0,0,0,0.043,0.0067,0.032,0.059,0.002,0.0003,0.001,0.003,24000,N/A,4000
DE,1 - Used within the past year,0,0,0,0,0.048,0.0069,0.037,0.064,0.003,0.0005,0.002,0.004,37000,N/A,5000
FL,1 - Used within the past year,0.002,0.0002,0.002,0.003,0.034,0.003,0.029,0.041,0.048,0.004,0.041,0.056,566000,N/A,47000
GA,1 - Used within the past year,0.002,0.0003,0.001,0.002,0.051,0.0078,0.037,0.068,0.035,0.0055,0.025,0.047,409000,N/A,67000
HI,1 - Used within the past year,0,0,0,0,0.046,0.0061,0.036,0.06,0.004,0.0006,0.003,0.006,52000,N/A,7000
IA,1 - Used within the past year,0,0,0,0,0.029,0.0046,0.021,0.04,0.006,0.0009,0.005,0.008,74000,N/A,11000
ID,1 - Used within the past year,0,0,0,0,0.038,0.0052,0.029,0.05,0.004,0.0006,0.003,0.006,49000,N/A,7000
IL,1 - Used within the past year,0.001,0.0001,0.001,0.002,0.033,0.0027,0.028,0.039,0.03,0.0026,0.026,0.036,355000,N/A,30000
IN,1 - Used within the past year,0.001,0.0002,0.001,0.001,0.051,0.0073,0.039,0.068,0.024,0.0034,0.018,0.031,277000,N/A,41000
KS,1 - Used within the past year,0,0.0001,0,0,0.033,0.0057,0.024,0.047,0.007,0.0012,0.005,0.01,78000,N/A,15000
KY,1 - Used within the past year,0.001,0.0001,0.001,0.001,0.051,0.0076,0.038,0.068,0.016,0.0023,0.012,0.021,186000,N/A,28000
LA,1 - Used within the past year,0.001,0.0001,0.001,0.001,0.052,0.0073,0.04,0.068,0.017,0.0022,0.013,0.022,196000,N/A,26000
MA,1 - Used within the past year,0.001,0.0001,0,0.001,0.03,0.0046,0.022,0.04,0.014,0.0023,0.01,0.02,168000,N/A,27000
MD,1 - Used within the past year,0.001,0.0001,0.001,0.001,0.045,0.007,0.033,0.061,0.019,0.0031,0.014,0.026,221000,N/A,37000
ME,1 - Used within the past year,0,0,0,0,0.039,0.0066,0.028,0.054,0.004,0.0006,0.003,0.005,45000,N/A,7000
MI,1 - Used within the past year,0.002,0.0001,0.001,0.002,0.047,0.0033,0.041,0.054,0.033,0.0023,0.029,0.038,393000,N/A,27000
MN,1 - Used within the past year,0.001,0.0001,0,0.001,0.033,0.0055,0.023,0.045,0.012,0.0022,0.009,0.018,147000,N/A,26000
MO,1 - Used within the past year,0.001,0.0001,0.001,0.001,0.043,0.0065,0.032,0.058,0.018,0.0027,0.014,0.025,217000,N/A,32000
MS,1 - Used within the past year,0,0.0001,0,0.001,0.044,0.0066,0.033,0.059,0.009,0.0015,0.007,0.013,108000,N/A,17000
MT,1 - Used within the past year,0,0,0,0,0.031,0.0053,0.022,0.043,0.002,0.0004,0.002,0.003,26000,N/A,5000
NC,1 - Used within the past year,0.002,0.0003,0.001,0.002,0.056,0.0087,0.041,0.075,0.038,0.006,0.028,0.052,450000,N/A,73000
ND,1 - Used within the past year,0,0,0,0,0.035,0.0049,0.027,0.046,0.002,0.0003,0.001,0.002,21000,N/A,3000
NE,1 - Used within the past year,0,0,0,0,0.028,0.0044,0.02,0.038,0.004,0.0006,0.003,0.005,42000,N/A,7000
NH,1 - Used within the past year,0,0,0,0,0.04,0.0064,0.029,0.054,0.004,0.0006,0.003,0.005,45000,N/A,7000
NJ,1 - Used within the past year,0.001,0.0001,0.001,0.001,0.035,0.0045,0.027,0.045,0.022,0.0028,0.017,0.028,260000,N/A,34000
NM,1 - Used within the past year,0,0,0,0,0.052,0.0079,0.038,0.07,0.007,0.0011,0.006,0.01,88000,N/A,13000
NV,1 - Used within the past year,0.001,0.0001,0,0.001,0.058,0.0093,0.043,0.08,0.011,0.0018,0.008,0.016,134000,N/A,22000
NY,1 - Used within the past year,0.002,0.0002,0.002,0.003,0.039,0.0032,0.033,0.046,0.055,0.0046,0.047,0.065,651000,N/A,56000
OH,1 - Used within the past year,0.002,0.0001,0.002,0.002,0.053,0.0037,0.046,0.061,0.044,0.0029,0.038,0.05,514000,N/A,34000
OK,1 - Used within the past year,0.001,0.0001,0,0.001,0.057,0.0089,0.042,0.078,0.015,0.0024,0.011,0.021,179000,N/A,29000
OR,1 - Used within the past year,0.001,0.0001,0.001,0.001,0.061,0.0089,0.045,0.081,0.017,0.0027,0.013,0.023,201000,N/A,31000
PA,1 - Used within the past year,0.002,0.0001,0.001,0.002,0.038,0.003,0.033,0.045,0.035,0.0028,0.03,0.041,413000,N/A,33000
RI,1 - Used within the past year,0,0,0,0,0.052,0.0074,0.039,0.069,0.004,0.0006,0.003,0.005,47000,N/A,6000
SC,1 - Used within the past year,0.001,0.0001,0,0.001,0.041,0.0058,0.031,0.054,0.014,0.0019,0.01,0.018,160000,N/A,23000
SD,1 - Used within the past year,0,0,0,0,0.033,0.007,0.022,0.05,0.002,0.0004,0.001,0.003,23000,N/A,5000
TN,1 - Used within the past year,0.001,0.0001,0.001,0.001,0.044,0.0072,0.031,0.06,0.02,0.0033,0.014,0.028,235000,N/A,39000
TX,1 - Used within the past year,0.003,0.0003,0.003,0.004,0.042,0.0031,0.036,0.048,0.074,0.0058,0.064,0.087,877000,N/A,71000
UT,1 - Used within the past year,0,0.0001,0,0,0.04,0.0065,0.029,0.055,0.008,0.0013,0.005,0.011,89000,N/A,15000
VA,1 - Used within the past year,0.002,0.0003,0.001,0.002,0.058,0.0107,0.04,0.083,0.033,0.0067,0.022,0.05,394000,N/A,81000
VT,1 - Used within the past year,0,0,0,0,0.031,0.0054,0.022,0.043,0.001,0.0003,0.001,0.002,17000,N/A,3000
WA,1 - Used within the past year,0.001,0.0002,0.001,0.002,0.057,0.0076,0.044,0.074,0.028,0.0038,0.021,0.036,328000,N/A,45000
WI,1 - Used within the past year,0.001,0.0001,0.001,0.001,0.043,0.0072,0.031,0.06,0.018,0.0031,0.012,0.025,208000,N/A,37000
WV,1 - Used within the past year,0,0,0,0,0.039,0.0053,0.03,0.051,0.005,0.0008,0.004,0.007,61000,N/A,10000
WY,1 - Used within the past year,0,0,0,0,0.034,0.0056,0.025,0.047,0.001,0.0002,0.001,0.002,16000,N/A,3000
