STATE US ABBREVIATION,RC-PAIN RELIEVERS - PAST YEAR MISUSE,Total %,Total % SE,Total % CI (lower),Total % CI (upper),Row %,Row % SE,Row % CI (lower),Row % CI (upper),Column %,Column % SE,Column % CI (lower),Column % CI (upper),Weighted Count,Count,Count SE
Overall,Overall,1,0,N/A,N/A,1,0,N/A,N/A,1,0,N/A,N/A,270767000,N/A,1660000
AK,Overall,0.002,0.0001,0.002,0.002,1,0,N/A,N/A,0.002,0.0001,0.002,0.002,585000,N/A,26000
AL,Overall,0.015,0.0007,0.014,0.016,1,0,N/A,N/A,0.015,0.0007,0.014,0.016,4071000,N/A,181000
AR,Overall,0.009,0.0004,0.008,0.01,1,0,N/A,N/A,0.009,0.0004,0.008,0.01,2475000,N/A,116000
AZ,Overall,0.021,0.0009,0.02,0.023,1,0,N/A,N/A,0.021,0.0009,0.02,0.023,5788000,N/A,242000
CA,Overall,0.121,0.0022,0.117,0.126,1,0,N/A,N/A,0.121,0.0022,0.117,0.126,32849000,N/A,657000
CO,Overall,0.017,0.0008,0.016,0.019,1,0,N/A,N/A,0.017,0.0008,0.016,0.019,4647000,N/A,205000
CT,Overall,0.011,0.0005,0.01,0.012,1,0,N/A,N/A,0.011,0.0005,0.01,0.012,3061000,N/A,126000
DC,Overall,0.002,0.0001,0.002,0.002,1,0,N/A,N/A,0.002,0.0001,0.002,0.002,586000,N/A,25000
DE,Overall,0.003,0.0001,0.003,0.003,1,0,N/A,N/A,0.003,0.0001,0.003,0.003,807000,N/A,32000
FL,Overall,0.065,0.0017,0.062,0.069,1,0,N/A,N/A,0.065,0.0017,0.062,0.069,17727000,N/A,484000
GA,Overall,0.031,0.0012,0.029,0.034,1,0,N/A,N/A,0.031,0.0012,0.029,0.034,8524000,N/A,328000
HI,Overall,0.004,0.0002,0.004,0.005,1,0,N/A,N/A,0.004,0.0002,0.004,0.005,1159000,N/A,50000
IA,Overall,0.01,0.0004,0.009,0.01,1,0,N/A,N/A,0.01,0.0004,0.009,0.01,2612000,N/A,100000
ID,Overall,0.005,0.0002,0.005,0.006,1,0,N/A,N/A,0.005,0.0002,0.005,0.006,1389000,N/A,52000
IL,Overall,0.04,0.001,0.038,0.042,1,0,N/A,N/A,0.04,0.001,0.038,0.042,10712000,N/A,276000
IN,Overall,0.02,0.0008,0.019,0.022,1,0,N/A,N/A,0.02,0.0008,0.019,0.022,5521000,N/A,217000
KS,Overall,0.009,0.0003,0.008,0.009,1,0,N/A,N/A,0.009,0.0003,0.008,0.009,2373000,N/A,94000
KY,Overall,0.014,0.0004,0.013,0.015,1,0,N/A,N/A,0.014,0.0004,0.013,0.015,3693000,N/A,123000
LA,Overall,0.014,0.0005,0.013,0.015,1,0,N/A,N/A,0.014,0.0005,0.013,0.015,3834000,N/A,141000
MA,Overall,0.022,0.0009,0.02,0.024,1,0,N/A,N/A,0.022,0.0009,0.02,0.024,5876000,N/A,259000
MD,Overall,0.019,0.0007,0.017,0.02,1,0,N/A,N/A,0.019,0.0007,0.017,0.02,5046000,N/A,198000
ME,Overall,0.004,0.0002,0.004,0.005,1,0,N/A,N/A,0.004,0.0002,0.004,0.005,1157000,N/A,43000
MI,Overall,0.031,0.0007,0.03,0.033,1,0,N/A,N/A,0.031,0.0007,0.03,0.033,8427000,N/A,203000
MN,Overall,0.017,0.0007,0.016,0.019,1,0,N/A,N/A,0.017,0.0007,0.016,0.019,4631000,N/A,201000
MO,Overall,0.019,0.0006,0.018,0.02,1,0,N/A,N/A,0.019,0.0006,0.018,0.02,5080000,N/A,161000
MS,Overall,0.009,0.0004,0.008,0.01,1,0,N/A,N/A,0.009,0.0004,0.008,0.01,2448000,N/A,104000
MT,Overall,0.003,0.0001,0.003,0.003,1,0,N/A,N/A,0.003,0.0001,0.003,0.003,878000,N/A,32000
NC,Overall,0.031,0.001,0.03,0.033,1,0,N/A,N/A,0.031,0.001,0.03,0.033,8489000,N/A,265000
ND,Overall,0.002,0.0001,0.002,0.003,1,0,N/A,N/A,0.002,0.0001,0.002,0.003,616000,N/A,29000
NE,Overall,0.006,0.0002,0.005,0.006,1,0,N/A,N/A,0.006,0.0002,0.005,0.006,1564000,N/A,57000
NH,Overall,0.004,0.0002,0.004,0.005,1,0,N/A,N/A,0.004,0.0002,0.004,0.005,1158000,N/A,45000
NJ,Overall,0.028,0.0012,0.026,0.03,1,0,N/A,N/A,0.028,0.0012,0.026,0.03,7583000,N/A,335000
NM,Overall,0.006,0.0002,0.006,0.007,1,0,N/A,N/A,0.006,0.0002,0.006,0.007,1725000,N/A,57000
NV,Overall,0.009,0.0004,0.008,0.01,1,0,N/A,N/A,0.009,0.0004,0.008,0.01,2476000,N/A,106000
NY,Overall,0.062,0.0015,0.059,0.065,1,0,N/A,N/A,0.062,0.0015,0.059,0.065,16804000,N/A,408000
OH,Overall,0.036,0.0008,0.034,0.038,1,0,N/A,N/A,0.036,0.0008,0.034,0.038,9760000,N/A,227000
OK,Overall,0.012,0.0005,0.011,0.013,1,0,N/A,N/A,0.012,0.0005,0.011,0.013,3204000,N/A,144000
OR,Overall,0.013,0.0005,0.012,0.014,1,0,N/A,N/A,0.013,0.0005,0.012,0.014,3502000,N/A,126000
PA,Overall,0.04,0.001,0.038,0.042,1,0,N/A,N/A,0.04,0.001,0.038,0.042,10854000,N/A,285000
RI,Overall,0.003,0.0001,0.003,0.004,1,0,N/A,N/A,0.003,0.0001,0.003,0.004,908000,N/A,38000
SC,Overall,0.015,0.0008,0.014,0.017,1,0,N/A,N/A,0.015,0.0008,0.014,0.017,4166000,N/A,205000
SD,Overall,0.003,0.0001,0.002,0.003,1,0,N/A,N/A,0.003,0.0001,0.002,0.003,703000,N/A,29000
TN,Overall,0.021,0.0009,0.019,0.023,1,0,N/A,N/A,0.021,0.0009,0.019,0.023,5587000,N/A,262000
TX,Overall,0.084,0.002,0.08,0.088,1,0,N/A,N/A,0.084,0.002,0.08,0.088,22701000,N/A,581000
UT,Overall,0.009,0.0004,0.008,0.01,1,0,N/A,N/A,0.009,0.0004,0.008,0.01,2429000,N/A,112000
VA,Overall,0.026,0.0009,0.024,0.028,1,0,N/A,N/A,0.026,0.0009,0.024,0.028,6993000,N/A,244000
VT,Overall,0.002,0.0001,0.002,0.002,1,0,N/A,N/A,0.002,0.0001,0.002,0.002,543000,N/A,21000
WA,Overall,0.023,0.0011,0.021,0.025,1,0,N/A,N/A,0.023,0.0011,0.021,0.025,6135000,N/A,307000
WI,Overall,0.018,0.0008,0.016,0.02,1,0,N/A,N/A,0.018,0.0008,0.016,0.02,4877000,N/A,220000
WV,Overall,0.006,0.0002,0.005,0.006,1,0,N/A,N/A,0.006,0.0002,0.005,0.006,1551000,N/A,50000
WY,Overall,0.002,0.0001,0.002,0.002,1,0,N/A,N/A,0.002,0.0001,0.002,0.002,479000,N/A,19000
Overall,0 - Did not misuse in the past year,0.958,0.0007,0.957,0.96,0.958,0.0007,0.957,0.96,1,0,N/A,N/A,259498000,N/A,1613000
AK,0 - Did not misuse in the past year,0.002,0.0001,0.002,0.002,0.949,0.0065,0.935,0.96,0.002,0.0001,0.002,0.002,556000,N/A,26000
AL,0 - Did not misuse in the past year,0.014,0.0007,0.013,0.016,0.956,0.0052,0.944,0.965,0.015,0.0007,0.014,0.016,3890000,N/A,177000
AR,0 - Did not misuse in the past year,0.009,0.0004,0.008,0.009,0.943,0.0072,0.927,0.955,0.009,0.0004,0.008,0.01,2334000,N/A,110000
AZ,0 - Did not misuse in the past year,0.02,0.0008,0.019,0.022,0.958,0.0062,0.944,0.969,0.021,0.0009,0.02,0.023,5547000,N/A,234000
CA,0 - Did not misuse in the past year,0.116,0.0021,0.112,0.12,0.956,0.0027,0.95,0.961,0.121,0.0022,0.117,0.126,31407000,N/A,628000
CO,0 - Did not misuse in the past year,0.016,0.0007,0.015,0.018,0.948,0.0061,0.935,0.959,0.017,0.0007,0.016,0.018,4407000,N/A,188000
CT,0 - Did not misuse in the past year,0.011,0.0005,0.01,0.012,0.955,0.0066,0.94,0.966,0.011,0.0005,0.01,0.012,2923000,N/A,123000
DC,0 - Did not misuse in the past year,0.002,0.0001,0.002,0.002,0.959,0.0052,0.947,0.968,0.002,0.0001,0.002,0.002,562000,N/A,24000
DE,0 - Did not misuse in the past year,0.003,0.0001,0.003,0.003,0.955,0.0064,0.941,0.966,0.003,0.0001,0.003,0.003,771000,N/A,31000
FL,0 - Did not misuse in the past year,0.063,0.0016,0.059,0.066,0.956,0.0032,0.95,0.962,0.065,0.0017,0.062,0.069,16955000,N/A,467000
GA,0 - Did not misuse in the past year,0.03,0.0012,0.028,0.033,0.968,0.0038,0.959,0.974,0.032,0.0012,0.029,0.034,8248000,N/A,321000
HI,0 - Did not misuse in the past year,0.004,0.0002,0.004,0.004,0.964,0.0058,0.95,0.973,0.004,0.0002,0.004,0.005,1117000,N/A,50000
IA,0 - Did not misuse in the past year,0.009,0.0003,0.009,0.01,0.959,0.0056,0.946,0.968,0.01,0.0004,0.009,0.01,2505000,N/A,94000
ID,0 - Did not misuse in the past year,0.005,0.0002,0.005,0.005,0.962,0.0047,0.952,0.97,0.005,0.0002,0.005,0.006,1337000,N/A,51000
IL,0 - Did not misuse in the past year,0.038,0.001,0.036,0.04,0.966,0.003,0.96,0.971,0.04,0.001,0.038,0.042,10349000,N/A,268000
IN,0 - Did not misuse in the past year,0.019,0.0008,0.018,0.021,0.945,0.0053,0.934,0.955,0.02,0.0008,0.019,0.022,5217000,N/A,208000
KS,0 - Did not misuse in the past year,0.008,0.0003,0.008,0.009,0.954,0.0057,0.942,0.964,0.009,0.0004,0.008,0.009,2265000,N/A,91000
KY,0 - Did not misuse in the past year,0.013,0.0005,0.012,0.014,0.956,0.0054,0.944,0.966,0.014,0.0005,0.013,0.015,3531000,N/A,125000
LA,0 - Did not misuse in the past year,0.014,0.0005,0.013,0.015,0.958,0.0066,0.943,0.969,0.014,0.0005,0.013,0.015,3672000,N/A,138000
MA,0 - Did not misuse in the past year,0.021,0.0009,0.019,0.023,0.969,0.0049,0.958,0.977,0.022,0.0009,0.02,0.024,5693000,N/A,248000
MD,0 - Did not misuse in the past year,0.018,0.0007,0.017,0.019,0.964,0.0046,0.953,0.972,0.019,0.0007,0.017,0.02,4862000,N/A,190000
ME,0 - Did not misuse in the past year,0.004,0.0002,0.004,0.004,0.968,0.0056,0.955,0.977,0.004,0.0002,0.004,0.005,1120000,N/A,42000
MI,0 - Did not misuse in the past year,0.03,0.0007,0.028,0.031,0.955,0.004,0.947,0.962,0.031,0.0008,0.03,0.033,8050000,N/A,201000
MN,0 - Did not misuse in the past year,0.016,0.0007,0.015,0.018,0.959,0.0065,0.944,0.97,0.017,0.0007,0.016,0.019,4440000,N/A,196000
MO,0 - Did not misuse in the past year,0.018,0.0006,0.017,0.019,0.959,0.0058,0.946,0.969,0.019,0.0006,0.018,0.02,4871000,N/A,154000
MS,0 - Did not misuse in the past year,0.009,0.0004,0.008,0.009,0.96,0.0051,0.949,0.969,0.009,0.0004,0.008,0.01,2351000,N/A,101000
MT,0 - Did not misuse in the past year,0.003,0.0001,0.003,0.003,0.956,0.0057,0.943,0.966,0.003,0.0001,0.003,0.003,840000,N/A,31000
NC,0 - Did not misuse in the past year,0.03,0.0009,0.028,0.032,0.958,0.0042,0.948,0.965,0.031,0.001,0.029,0.033,8128000,N/A,254000
ND,0 - Did not misuse in the past year,0.002,0.0001,0.002,0.002,0.968,0.0051,0.957,0.977,0.002,0.0001,0.002,0.003,597000,N/A,28000
NE,0 - Did not misuse in the past year,0.006,0.0002,0.005,0.006,0.971,0.0042,0.962,0.978,0.006,0.0002,0.005,0.006,1519000,N/A,54000
NH,0 - Did not misuse in the past year,0.004,0.0002,0.004,0.004,0.957,0.007,0.941,0.969,0.004,0.0002,0.004,0.005,1108000,N/A,45000
NJ,0 - Did not misuse in the past year,0.027,0.0012,0.025,0.029,0.966,0.0043,0.956,0.973,0.028,0.0012,0.026,0.031,7324000,N/A,327000
NM,0 - Did not misuse in the past year,0.006,0.0002,0.006,0.007,0.961,0.005,0.95,0.97,0.006,0.0002,0.006,0.007,1658000,N/A,56000
NV,0 - Did not misuse in the past year,0.009,0.0004,0.008,0.009,0.94,0.006,0.927,0.951,0.009,0.0004,0.008,0.01,2327000,N/A,104000
NY,0 - Did not misuse in the past year,0.06,0.0014,0.057,0.063,0.968,0.003,0.961,0.973,0.063,0.0015,0.06,0.066,16262000,N/A,395000
OH,0 - Did not misuse in the past year,0.034,0.0008,0.033,0.036,0.95,0.0037,0.943,0.957,0.036,0.0008,0.034,0.037,9276000,N/A,215000
OK,0 - Did not misuse in the past year,0.011,0.0005,0.01,0.012,0.961,0.0055,0.949,0.971,0.012,0.0005,0.011,0.013,3080000,N/A,138000
OR,0 - Did not misuse in the past year,0.012,0.0004,0.011,0.013,0.941,0.0067,0.927,0.953,0.013,0.0005,0.012,0.014,3296000,N/A,120000
PA,0 - Did not misuse in the past year,0.038,0.001,0.036,0.04,0.956,0.004,0.948,0.963,0.04,0.001,0.038,0.042,10379000,N/A,277000
RI,0 - Did not misuse in the past year,0.003,0.0001,0.003,0.003,0.953,0.0072,0.936,0.965,0.003,0.0001,0.003,0.004,865000,N/A,35000
SC,0 - Did not misuse in the past year,0.015,0.0007,0.013,0.016,0.957,0.0051,0.945,0.966,0.015,0.0008,0.014,0.017,3985000,N/A,197000
SD,0 - Did not misuse in the past year,0.002,0.0001,0.002,0.003,0.955,0.0076,0.937,0.968,0.003,0.0001,0.002,0.003,672000,N/A,28000
TN,0 - Did not misuse in the past year,0.02,0.0009,0.018,0.022,0.961,0.0047,0.95,0.969,0.021,0.001,0.019,0.023,5369000,N/A,262000
TX,0 - Did not misuse in the past year,0.08,0.0019,0.077,0.084,0.96,0.003,0.953,0.965,0.084,0.002,0.08,0.088,21785000,N/A,559000
UT,0 - Did not misuse in the past year,0.009,0.0004,0.008,0.009,0.95,0.0063,0.936,0.961,0.009,0.0004,0.008,0.01,2307000,N/A,105000
VA,0 - Did not misuse in the past year,0.025,0.0009,0.023,0.027,0.964,0.0039,0.956,0.971,0.026,0.0009,0.024,0.028,6743000,N/A,235000
VT,0 - Did not misuse in the past year,0.002,0.0001,0.002,0.002,0.961,0.0059,0.948,0.971,0.002,0.0001,0.002,0.002,522000,N/A,20000
WA,0 - Did not misuse in the past year,0.021,0.0011,0.019,0.024,0.945,0.0077,0.927,0.958,0.022,0.0011,0.02,0.025,5795000,N/A,302000
WI,0 - Did not misuse in the past year,0.017,0.0008,0.016,0.019,0.969,0.0045,0.958,0.976,0.018,0.0008,0.017,0.02,4724000,N/A,218000
WV,0 - Did not misuse in the past year,0.006,0.0002,0.005,0.006,0.964,0.005,0.953,0.973,0.006,0.0002,0.005,0.006,1496000,N/A,49000
WY,0 - Did not misuse in the past year,0.002,0.0001,0.002,0.002,0.967,0.0053,0.955,0.976,0.002,0.0001,0.002,0.002,463000,N/A,19000
Overall,1 - Misused within the past year,0.042,0.0007,0.04,0.043,0.042,0.0007,0.04,0.043,1,0,N/A,N/A,11268000,N/A,209000
AK,1 - Misused within the past year,0,0,0,0,0.051,0.0065,0.04,0.065,0.003,0.0003,0.002,0.003,30000,N/A,4000
AL,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.044,0.0052,0.035,0.056,0.016,0.0019,0.013,0.02,181000,N/A,21000
AR,1 - Misused within the past year,0.001,0.0001,0,0.001,0.057,0.0072,0.045,0.073,0.013,0.0017,0.01,0.016,142000,N/A,20000
AZ,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.042,0.0062,0.031,0.056,0.021,0.0033,0.016,0.029,242000,N/A,37000
CA,1 - Misused within the past year,0.005,0.0003,0.005,0.006,0.044,0.0027,0.039,0.05,0.128,0.0078,0.114,0.144,1442000,N/A,96000
CO,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.052,0.0061,0.041,0.065,0.021,0.0029,0.016,0.028,240000,N/A,33000
CT,1 - Misused within the past year,0.001,0.0001,0,0.001,0.045,0.0066,0.034,0.06,0.012,0.0018,0.009,0.016,138000,N/A,21000
DC,1 - Misused within the past year,0,0,0,0,0.041,0.0052,0.032,0.053,0.002,0.0003,0.002,0.003,24000,N/A,3000
DE,1 - Misused within the past year,0,0,0,0,0.045,0.0064,0.034,0.059,0.003,0.0005,0.002,0.004,36000,N/A,5000
FL,1 - Misused within the past year,0.003,0.0002,0.002,0.003,0.044,0.0032,0.038,0.05,0.069,0.0051,0.059,0.079,772000,N/A,60000
GA,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.032,0.0038,0.026,0.041,0.024,0.003,0.019,0.031,276000,N/A,34000
HI,1 - Misused within the past year,0,0,0,0,0.036,0.0058,0.027,0.05,0.004,0.0006,0.003,0.005,42000,N/A,7000
IA,1 - Misused within the past year,0,0.0001,0,0.001,0.041,0.0056,0.032,0.054,0.01,0.0014,0.007,0.013,108000,N/A,16000
ID,1 - Misused within the past year,0,0,0,0,0.038,0.0047,0.03,0.048,0.005,0.0006,0.004,0.006,52000,N/A,7000
IL,1 - Misused within the past year,0.001,0.0001,0.001,0.002,0.034,0.003,0.029,0.04,0.032,0.003,0.027,0.039,363000,N/A,34000
IN,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.055,0.0053,0.045,0.066,0.027,0.0028,0.022,0.033,303000,N/A,31000
KS,1 - Misused within the past year,0,0.0001,0,0.001,0.046,0.0057,0.036,0.058,0.01,0.0013,0.007,0.012,108000,N/A,14000
KY,1 - Misused within the past year,0.001,0.0001,0,0.001,0.044,0.0054,0.034,0.056,0.014,0.0017,0.011,0.018,162000,N/A,19000
LA,1 - Misused within the past year,0.001,0.0001,0,0.001,0.042,0.0066,0.031,0.057,0.014,0.0023,0.011,0.02,162000,N/A,26000
MA,1 - Misused within the past year,0.001,0.0001,0,0.001,0.031,0.0049,0.023,0.042,0.016,0.0028,0.012,0.023,183000,N/A,31000
MD,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.036,0.0046,0.028,0.047,0.016,0.0022,0.012,0.021,184000,N/A,25000
ME,1 - Misused within the past year,0,0,0,0,0.032,0.0056,0.023,0.045,0.003,0.0006,0.002,0.005,37000,N/A,7000
MI,1 - Misused within the past year,0.001,0.0001,0.001,0.002,0.045,0.004,0.038,0.053,0.033,0.0029,0.028,0.04,377000,N/A,34000
MN,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.041,0.0065,0.03,0.056,0.017,0.0027,0.012,0.023,191000,N/A,31000
MO,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.041,0.0058,0.031,0.054,0.019,0.0027,0.014,0.025,209000,N/A,31000
MS,1 - Misused within the past year,0,0,0,0,0.04,0.0051,0.031,0.051,0.009,0.0011,0.007,0.011,97000,N/A,13000
MT,1 - Misused within the past year,0,0,0,0,0.044,0.0057,0.034,0.057,0.003,0.0005,0.003,0.004,39000,N/A,5000
NC,1 - Misused within the past year,0.001,0.0001,0.001,0.002,0.042,0.0042,0.035,0.052,0.032,0.0033,0.026,0.039,360000,N/A,38000
ND,1 - Misused within the past year,0,0,0,0,0.032,0.0051,0.023,0.043,0.002,0.0003,0.001,0.002,19000,N/A,3000
NE,1 - Misused within the past year,0,0,0,0,0.029,0.0042,0.022,0.038,0.004,0.0006,0.003,0.005,45000,N/A,7000
NH,1 - Misused within the past year,0,0,0,0,0.043,0.007,0.031,0.059,0.004,0.0007,0.003,0.006,50000,N/A,8000
NJ,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.034,0.0043,0.027,0.044,0.023,0.003,0.018,0.03,259000,N/A,34000
NM,1 - Misused within the past year,0,0,0,0,0.039,0.005,0.03,0.05,0.006,0.0008,0.005,0.008,67000,N/A,9000
NV,1 - Misused within the past year,0.001,0.0001,0,0.001,0.06,0.006,0.049,0.073,0.013,0.0013,0.011,0.016,149000,N/A,15000
NY,1 - Misused within the past year,0.002,0.0002,0.002,0.002,0.032,0.003,0.027,0.039,0.048,0.0045,0.04,0.058,542000,N/A,52000
OH,1 - Misused within the past year,0.002,0.0001,0.002,0.002,0.05,0.0037,0.043,0.057,0.043,0.0034,0.037,0.05,484000,N/A,39000
OK,1 - Misused within the past year,0,0.0001,0,0.001,0.039,0.0055,0.029,0.051,0.011,0.0016,0.008,0.015,124000,N/A,19000
OR,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.059,0.0067,0.047,0.073,0.018,0.0022,0.014,0.023,206000,N/A,25000
PA,1 - Misused within the past year,0.002,0.0002,0.001,0.002,0.044,0.004,0.037,0.052,0.042,0.0039,0.035,0.051,475000,N/A,45000
RI,1 - Misused within the past year,0,0,0,0,0.047,0.0072,0.035,0.064,0.004,0.0006,0.003,0.005,43000,N/A,7000
SC,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.043,0.0051,0.034,0.055,0.016,0.002,0.013,0.021,181000,N/A,23000
SD,1 - Misused within the past year,0,0,0,0,0.045,0.0076,0.032,0.063,0.003,0.0005,0.002,0.004,32000,N/A,6000
TN,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.039,0.0047,0.031,0.05,0.019,0.0022,0.016,0.024,219000,N/A,25000
TX,1 - Misused within the past year,0.003,0.0003,0.003,0.004,0.04,0.003,0.035,0.047,0.081,0.006,0.07,0.094,915000,N/A,72000
UT,1 - Misused within the past year,0,0.0001,0,0.001,0.05,0.0063,0.039,0.064,0.011,0.0015,0.008,0.014,122000,N/A,17000
VA,1 - Misused within the past year,0.001,0.0001,0.001,0.001,0.036,0.0039,0.029,0.044,0.022,0.0026,0.018,0.028,250000,N/A,29000
VT,1 - Misused within the past year,0,0,0,0,0.039,0.0059,0.029,0.052,0.002,0.0003,0.001,0.003,21000,N/A,3000
WA,1 - Misused within the past year,0.001,0.0002,0.001,0.002,0.055,0.0077,0.042,0.073,0.03,0.0041,0.023,0.039,340000,N/A,47000
WI,1 - Misused within the past year,0.001,0.0001,0,0.001,0.031,0.0045,0.024,0.042,0.014,0.0019,0.01,0.018,153000,N/A,22000
WV,1 - Misused within the past year,0,0,0,0,0.036,0.005,0.027,0.047,0.005,0.0007,0.004,0.007,55000,N/A,8000
WY,1 - Misused within the past year,0,0,0,0,0.033,0.0053,0.024,0.045,0.001,0.0002,0.001,0.002,16000,N/A,3000
